date,Content,Likes,Retweet
2022-12-19 08:03:00+00:00,I hobbled into Parliament today (w/ help from staff who wheeled me up a ramp &amp;through the back corridors!) Grateful to Speaker @ombirlakota that I could ask Skill Development Minister @rajeev_GOI about the 40% youth unemployment in Kerala: https://t.co/LUE0cZNceh,940,78
2022-12-18 18:18:23+00:00,"Congratulations to both teams who played an epic final in #FIFAWorldCup2022. Neither deserved to lose, but one had to win. Viva Argentina! Et bien joué, les Bleus!",5421,193
2022-12-18 15:39:11+00:00,A front-page story by @YamiNair312 in today’s @IndianExpress features the amazing efforts of the octogenarian TJ &amp; Sally Mathew who have made @fckovalam a viable club for underprivileged kids w/football talent in my constituency: https://t.co/pTTHeFsWNG https://t.co/OL2ws6ki3V,180,30
2022-12-18 15:04:05+00:00,Congratulations to @arpitchtr &amp; his proud father @atulchtr!,178,21
2022-12-18 12:00:16+00:00,A lovely two-minute summary video of my recent visit to the civil services academy run by @najibkantapuram MLA: https://t.co/hGXUJtyGXF,217,26
2022-12-18 07:32:23+00:00,"""@NarendraModi &amp; his government have to begin shoring up India’s defences by mending the political equations at the top, by treating the opposition with respect, &amp; by sharing confidences with them so India can speak as one.""~ @ShekharGupta is right:  https://t.co/fZLPTcoPOv",769,119
2022-12-18 06:53:41+00:00,"When it comes to standing up for the country internationally, we are all one. Our enemies &amp; ill-wishers would be well-advised to understand that in India, politics stops when our nation's self-respect is involved. @bhupeshbaghel @INCIndia @ProfCong @PMOIndia",9644,1013
2022-12-18 06:04:00+00:00,My friend @BillPavilionEnd made a visit to two former Test grounds in Mumbai. His reflections make fascinating reading: https://t.co/3PUGUbpKAu,178,19
2022-12-17 10:24:46+00:00,Those interested can follow it live (in Malayalam) on https://t.co/TkOB2Tl01C,89,25
2022-12-17 06:55:13+00:00,Sorry2miss the 11-day Bhagavatha MahaSathram organised in Thiruvananthapuram by Guruvayur Sreemad Bhagawatha SathraSamithi. This 38th edition includes recital&amp;elucidation of the Srimad Bhagawatham w/ religious rituals &amp;cultural programmes. 100+ Hindu religious scholars attending.,506,30
2022-12-17 02:13:36+00:00,"മാതൃഭൂമിയുടെ നൂറാം വാര്‍ഷികത്തോടനുബന്ധിച്ച് കോഴിക്കോട് കള്‍ച്ചറല്‍ ബീച്ചില്‍ ഡോ ശശി തരൂര്‍ പ്രഭാഷണം നടത്തുന്നു-തത്സമയം: https://t.co/ZpysRFuNoN
@ShashiTharoor 
#MBIFL #MBIFL23 #MathrubhumiLiteratureFestival #Mathrubhumi100Years #MathrubhumiCentenaryCelebrations",114,23
2022-12-16 14:01:48+00:00,my column in @ManoramaDaily today on the enduring lessons from the recent elections: [English] https://t.co/F1k4PMqR6o https://t.co/6yxBONGATk,269,37
2022-12-16 13:56:07+00:00,"What am amazing tribute to defiant idealism, dogged peristence, unrelenting stamina &amp; unquestionable patriotism! #BharatJodoYatra #100DAYSOFYATRA https://t.co/0Wi9xfzICC",3465,643
2022-12-16 13:54:10+00:00,Thank you @nitin_gadkari for your work in delivering a major elevated highway to Thiruvananthapuram &amp; your graciousness in acknowledging the local MP even while I was unable to travel to my constituency to listen to you in person! https://t.co/HBi4pVcjqp,4178,202
2022-12-16 12:04:05+00:00,Indira Gandhi redrew the geopolitical map of the subcontinent 51 years ago. #VijayDiwas marks not just a victory but a triumph.,2942,348
2022-12-16 07:46:35+00:00,#SaluteTheHeroes #VijayDiwas https://t.co/AyIlWr6k0b,943,75
2022-12-16 05:31:49+00:00,"A bit of an inconvenience: I badly sprained my left foot in missing a step in Parliament yesterday. After ignoring it for a few hours the pain had become so acute that I had to go to hospital. Am now immobilised w/a cast, missing Parliament today&amp;cancelled wknd constituency plans https://t.co/Ksj0FuchZZ",9709,442
2022-12-15 17:39:07+00:00,A superb piece by a bright young NRI makes a point I have repeatedly &amp; unsuccessfully pursued since my own Pravasi days. Worth reading,220,40
2022-12-15 11:41:16+00:00,"Visited an impressive exhibition of free or subsidised devices provided by the Ministry of Social Justice to differently-abled citizens, from wheelchairs to prosthetic devices. Important to increase awareness of the availability of such facilities to those in need. https://t.co/8JjoB0KARy",290,33
2022-12-15 11:37:19+00:00,"Chatting with MPs, GoI officials &amp; representatives of the medical device industry after a meeting of the Parliamentary Standing Committee on Chemicals &amp; Fertilizers yesterday https://t.co/wwAFZfU37N",410,30
2022-12-15 11:34:56+00:00,Joined Kerala MPs &amp; some sympathising colleagues in a protest at Mahatma Gandhi’s statue yesterday on the plight of rubber farmers. GoI can increase MSP &amp; impose import duties on foreign rubber to save our suffering rubber farmers. https://t.co/jM7G0Q9PNT,499,45
2022-12-15 09:27:25+00:00,Very kind of @PChidambaram_IN to say these generous words. But then true greatness always expresses itself in humility &amp; graciousness. 🙏,2270,225
2022-12-15 04:10:44+00:00,Remembering #SardarPatel on his punyatithi https://t.co/xfRg6B3lZg,440,31
2022-12-15 03:52:39+00:00,Fascinating! https://t.co/ycIEOZSdUO’s,345,23
2022-12-14 08:55:34+00:00,As the World Cup comes to an end I wonder when these sights from across the highways and byways of Kerala will be dismantled! https://t.co/h33VKuiMfp,2215,111
2022-12-14 03:42:54+00:00,The MillenniumPost report on the event @mpostdigital https://t.co/oXK0mvI7cr,131,25
2022-12-14 02:17:40+00:00,"Launched RashmeOberoi’s fascinating new book on modern witchcraft, “Wiccan”, on Monday evening w/ ⁦@salman7khurshid⁩ &amp; several of the author’s friends. Interesting to realise how an occult world of spells, crystals&amp; incantantations has changed into a positive healing system https://t.co/YUky5o53OI",397,43
2022-12-13 18:36:04+00:00,"My intervention under Rule 377 on the cyber attack on AIIMS, asking the Home ministry for appropriate action https://t.co/pvVF0aKKOT",739,86
2022-12-13 17:52:20+00:00,Shocking -- you can't do this to a political party in a democracy!,1291,212
2022-12-13 16:39:42+00:00,"My speech in the LokSabha on the FinanceMinister's Supplementary Demands for Grants which sought additional funds for needs I had predicted when she presented her original Budget, but still did not cater to the real needs of MNREGA, fisherfolk &amp; farmers:
https://t.co/fAk6JCS0NL",378,55
2022-12-13 03:09:14+00:00,My nephew @NihalTharoor has created a gaming company with his partners &amp; scored a huge success with an interactive mystery game called #DeadMansPhone that’s now on @Netflix. Proud of him! May the young man &amp; his team enjoy great success!,542,41
2022-12-12 15:24:12+00:00,"I’ve long argued that China has designs on Tawang, since they want to pre-empt the possibility of a future DalaiLama being identified at the birthplace of the 6thDL. Proud of our soldiers for standing up to the PLA: https://t.co/hntnFyTvww",1924,267
2022-12-12 13:42:43+00:00,"The conflict between Kerala Govt &amp; GOI over the inclusion of KIIFB off-budget borrowings in the state's net borrowing limit has come to a head. It highlights need to review sub-national fiscal policy &amp;cooperative federalism, but also what are sustainable debt levels for states? https://t.co/C5cbHRKdW7",227,33
2022-12-12 13:39:10+00:00,The AnanthaVictoriaMarthandam Canal has remained neglected for decades &amp;GOI has stated that this will not be changing anytime soon. A feasibility study should not be saying something is ‘presently unfeasible’;it shld say how we can MAKE it feasible. Hope to see swift action soon. https://t.co/yyt9VwF7xH,155,23
2022-12-12 13:31:44+00:00,"Baby Sera Nile Fay, 5 months, is diagnosed w/a very rare genetic disease, INFANTILE HYPOPHOSPHATASIA: enzyme ALPL required for bones&amp;teeth to absorb calcium to grow in strength, is missing from her system. Mortality is 50-100% without treatment. Help her! 
https://t.co/dcdcaGmWyr https://t.co/5LSty7UMOg",243,60
2022-12-12 06:03:42+00:00,"Since FinanceMinister @nsitharaman had just told the LokSabha that all pending dues for GST compensation had been paid to the states, I sought clarification of the position regarding Kerala, whose Finance Minister has averred that Rs 4439 cr are still due in shortfalls since 2017 https://t.co/GqoNKJ4xGN",2084,306
2022-12-12 01:58:21+00:00,"LokSabha: Once again, GOI fails to provide clarity about the completion of this already much-delayed project. It is worrying that the widening of NH-66 may take another 3yrs due to lack of cohesion among 21 packages. Rain foreseeable! Why start construction if you can't finish? https://t.co/fIZGrtEO3W",374,55
2022-12-12 01:55:28+00:00,"LokSabha: An evasive answer about whether the govt is on track to deploy 75 Vande Bharat trains by August 2023. Of course, actual production is dependent on supply chains, but no measures have been announced to guarantee the target will be met. Would be a shame if it is not. https://t.co/cUfANKjEob",331,45
2022-12-12 01:53:03+00:00,"LokSabha: 251 villages are still without effective mobile service networks in Kerala. In a world where e-communication is key, GOI must rectify this. Disappointed to learn that cost estimation&amp; implementation strategy of 4G networks, when parts of India are on 5G, are still TBA. https://t.co/Dvf5yFcKCS",416,46
2022-12-11 17:53:15+00:00,"A delightful reminiscence by my college-mate @Ramu_Damodaran of an episode at the @UN forty years ago, when a screening of the film ""Gandhi"" influenced a senior US diplomat at the Security Council: https://t.co/TlrfrajqPd",255,36
2022-12-11 17:45:38+00:00,"Visited ⁦@IYCKerala⁩ Mandalam GeneralSecretary Vishnu MV, seriously injured during the protests outside the Mayor’s office, in hospital where he is between surgeries https://t.co/re8DzWwRQS",343,53
2022-12-11 17:43:38+00:00,"Honoured to receive from Prof B. Ekbal in Thiruvananthapuram a copy of his beautifully published new book on pandemics, with stunning illustrations (in Malayalam). https://t.co/kNqZdvYCpQ",463,52
2022-12-11 10:00:37+00:00,"Thrilled that a young cricketer whose career I’ve been following since his childhood is going great guns! Niranjan V Dev scored an unbeaten century for Kerala against Jharkhand in the recent CoochBehar Trophy, the second-fastest in the tournament after the brilliant @prithviShaw! https://t.co/ikiYhyE2AE",434,29
2022-12-11 09:59:00+00:00,"Congratulated my long-time @incKerala colleague Vellaikadavu Venukumar on his appointment as BlockPresident, Vattiyoorkavu. A sincere party-worker who wears his heart on his sleeve &amp;brooks no nonsense, his rise is a tribute to years of dedicated service to the party’s ideals. https://t.co/WSHtx3EIFZ",320,24
2022-12-11 09:56:24+00:00,"At the end I made it a point to clamber on stage and congratulate the musicians on their performance, &amp; wish the young people attending. The IFFK keeps getting better and better; calling more film buffs &amp; young tourists to come to Thiruvananthapuram next December! https://t.co/GXuPu72cXO",244,25
2022-12-11 09:55:27+00:00,"Outside the FilmFestival office, an impromptu throng of over a thousand young people was dancing, jiving, rocking &amp; screaming to some very loud, high-tempo music being belted out by a live band on the stage. I plunged into the crowd &amp; got into the spirit myself! https://t.co/zroYdKTqN6",560,41
2022-12-11 09:53:40+00:00,"Having (unusually) missed the inauguration of the International Film Festival of Kerala in Thiruvananthapuram on Friday night, I dropped by the Festival site to meet some of the organisers &amp; got caught up in the joyous crowds having the time of their lives. https://t.co/fKLQ0f79Pj",223,24
2022-12-11 09:53:05+00:00,A reminder that Christmas is not far — when a group of Carol singers who had been entertaining the neighbourhood accosted me for a photograph! https://t.co/LMML276T69,227,21
2022-12-11 09:53:03+00:00,"Inaugurated a high-mast light at a busy intersection in Kesavadasapuram, erected from my MP funds. Development isn’t only about major highways, hospitals &amp;bridges; little projects that make the daily lives of ordinary people easier are also development. https://t.co/Pc56Ml58L4",234,26
2022-12-11 09:45:27+00:00,"When a film star clicks a selfie with you! This was Babu Antony, seated on my left at the Faith Conclave https://t.co/hFBJ47XrtU",1236,41
2022-12-11 09:39:47+00:00,"Pleased to welcome my neighbour in New Delhi and chair of the National Minorities Commision, Shri Iqbal Singh Lalpura, who travelled to Thiruvananthapuram to inaugurate the Faith Conclave. He spoke feelingly in English of the essential similarities of all faiths. https://t.co/OCVqd9CGP4",314,37
2022-12-11 09:38:48+00:00,"The talented SarvodayaSchool choir treated us to a full rendition of Vande Mataram, including the three verses that are rarely sung. Afterward a young singer came to tell me of his mastery of long words, which he proved by intoning pneumonoultramicroscopicsilicovolcanoconiosis! https://t.co/o58EAmMFHq",412,36
